05/05/2021,FUTCOM,ALUMINIUM    ,31MAY2021,-,0,195.9, 196.55,195.15,196.4,195.1,2653,13265.000 KGS  
05/05/2021,FUTCOM,ALUMINIUM    ,30JUN2021,-,0,195.5, 196.55,195.4,196.45,194.95,150,750.000 KGS  
05/05/2021,FUTCOM,ALUMINIUM    ,30JUL2021,-,0,0, 0,0,196.5,194.8,0,0.000 KGS  
05/05/2021,FUTCOM,ALUMINIUM    ,31AUG2021,-,0,0, 0,0,196.55,194.6,0,0.000 KGS  
05/05/2021,FUTCOM,ALUMINIUM    ,30SEP2021,-,0,0, 0,0,196.6,194.45,0,0.000 KGS  
05/05/2021,FUTCOM,CARDAMOM     ,14MAY2021,-,0,0, 0,0,1450,1450,0,0.000 KGS  
05/05/2021,FUTCOM,CARDAMOM     ,15JUN2021,-,0,0, 0,0,1650,1650,0,0.000 KGS  
05/05/2021,FUTCOM,CARDAMOM     ,15JUL2021,-,0,0, 0,0,1450,1450,0,0.000 KGS  
05/05/2021,FUTCOM,CARDAMOM     ,13AUG2021,-,0,0, 0,0,1450,1450,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,565,0, 0,0,197.34,197.34,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,565,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,570,0, 0,0,192.34,192.34,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,570,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,575,0, 0,0,187.35,187.35,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,575,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,580,0, 0,0,182.36,182.36,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,580,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,585,0, 0,0,177.37,177.37,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,585,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,590,0, 0,0,172.38,172.38,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,590,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,595,0, 0,0,167.38,167.38,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,595,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,600,0, 0,0,162.39,162.39,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,600,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,605,0, 0,0,157.4,157.4,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,605,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,610,0, 0,0,152.41,152.41,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,610,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,615,0, 0,0,147.42,147.42,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,615,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,620,0, 0,0,142.42,142.42,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,620,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,625,0, 0,0,137.43,137.43,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,625,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,630,0, 0,0,132.44,132.44,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,630,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,635,0, 0,0,127.45,127.45,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,635,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,555,0, 0,0,207.32,207.32,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,555,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,560,0, 0,0,202.33,202.33,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,560,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,640,0, 0,0,122.46,122.46,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,PE,640,0, 0,0,0.01,0.01,0,0.000 KGS  
05/05/2021,OPTFUT,COPPER       ,20MAY2021,CE,645,0, 0,0,117.46,117.46,0,0.000 KGS  
