AMC,Code,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date, Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124505,HDFC FMP 370D September 2013 (3),Close Ended,Income,HDFC FMP 370D September 2013 (3)-Regular Option-Growth Option,5000,17-Sep-2013,17-Sep-2013,INF179KA1YN0
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124506,HDFC FMP 370D September 2013 (3),Close Ended,Income,HDFC FMP 370D September 2013 (3)-Direct Option-Dividend Option,5000,17-Sep-2013,17-Sep-2013,INF179KA1YK6
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124507,HDFC FMP 370D September 2013 (3),Close Ended,Income,HDFC FMP 370D September 2013 (3)-Direct Option-Quarterly Dividend Option,5000,17-Sep-2013,17-Sep-2013,INF179K012J8
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124508,HDFC FMP 370D September 2013 (3),Close Ended,Income,HDFC FMP 370D September 2013 (3)-Direct Option-Flexi Option,5000,17-Sep-2013,17-Sep-2013,INF179KA1YI0
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124509,HDFC FMP 370D September 2013 (3),Close Ended,Income,HDFC FMP 370D September 2013 (3)-Regular Option-Dividend Option,5000,17-Sep-2013,17-Sep-2013,INF179KA1YG4
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124510,HDFC FMP 370D September 2013 (3),Close Ended,Income,HDFC FMP 370D September 2013 (3)-Regular Option-Quarterly Dividend Option,5000,17-Sep-2013,17-Sep-2013,INF179K018I7
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124512,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Regular Option-Dividend Option,5000,18-Sep-2013,18-Sep-2013,INF179KA1YW1
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124513,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Regular Option-Flexi Option,5000,18-Sep-2013,18-Sep-2013,INF179K011K8
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124514,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Direct Option-Flexi Option,5000,18-Sep-2013,18-Sep-2013,INF179K017J7
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124515,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Direct Option-Growth Option,5000,18-Sep-2013,18-Sep-2013,INF179KA1YZ4
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124516,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Direct Option-Quarterly Dividend Option,5000,18-Sep-2013,18-Sep-2013,INF179K016J9
HDFC Asset Management Company Limited (Corporate Identification Number - L65991MH1999PLC123027),124517,HDFC FMP 370D September 2013 (4),Close Ended,Income,HDFC FMP 370D September 2013 (4)-Regular Option-Growth Option,5000,18-Sep-2013,18-Sep-2013,INF179KA1ZD8
