CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTCUREURINR27-OCT-2021,91.75,0.0000,0.0000,0.0000,91.7500,92.0450,0.32,150,0,0,0.0000000
FUTCUREURINR26-NOV-2021,92.02,0.0000,0.0000,0.0000,92.0200,92.4725,0.49,30,0,0,0.0000000
FUTCUREURINR24-FEB-2022,94.16,0.0000,0.0000,0.0000,93.5925,93.7525,-0.43,0,0,0,0.0000000
FUTCUREURINR28-JUN-2021,90.59,90.5700,90.6700,90.3100,90.3475,90.3475,-0.27,44776,11075,11075,1001648522.5000000
FUTCUREURINR09-JUL-2021,90.92,0.0000,0.0000,0.0000,91.5725,90.5150,-0.45,0,0,0,0.0000000
FUTCUREURINR27-MAY-2021,90.18,90.1000,90.2625,89.8800,89.9125,89.9125,-0.30,126751,132022,132022,11886098490.0000000
FUTCUREURINR27-AUG-2021,91.20,91.1975,91.1975,90.9925,90.9925,91.2175,0.02,1326,36,36,3278185.0000000
FUTCUREURINR29-DEC-2021,93.34,0.0000,0.0000,0.0000,94.5000,92.9350,-0.43,0,0,0,0.0000000
FUTCUREURINR16-JUL-2021,0.00,0.0000,0.0000,0.0000,91.0250,90.6150,0.00,0,0,0,0.0000000
FUTCUREURINR27-JAN-2022,93.75,0.0000,0.0000,0.0000,93.7975,93.3500,-0.43,0,0,0,0.0000000
FUTCUREURINR25-JUN-2021,90.73,0.0000,0.0000,0.0000,89.6400,90.3275,-0.44,0,0,0,0.0000000
FUTCUREURINR18-JUN-2021,90.62,0.0000,0.0000,0.0000,87.5325,90.2250,-0.44,0,0,0,0.0000000
FUTCURUSDINR29-MAR-2022,77.23,77.3000,77.3300,77.1400,77.2775,77.2775,0.06,84612,2497,2497,192884197.5000000
FUTCURUSDINR27-APR-2022,77.54,77.5025,77.6125,77.4575,77.5750,77.5750,0.04,2856,1345,1345,104281070.0000000
FUTCURUSDINR27-JAN-2022,76.61,76.6850,76.7250,76.5125,76.6600,76.6600,0.07,65405,1466,1466,112352455.0000000
FUTCURUSDINR28-SEP-2021,75.52,75.6075,75.6100,75.4200,75.5725,75.5725,0.08,46059,2223,2223,167937902.5000000
FUTCURUSDINR27-OCT-2021,75.80,75.8000,75.9000,75.7000,75.8650,75.8650,0.09,35830,1101,1101,83445315.0000000
FUTCURUSDINR27-MAY-2021,74.37,74.3900,74.4800,74.2550,74.3900,74.3900,0.02,2752885,2433597,2433597,180987477057.5000000
FUTCURUSDINR29-DEC-2021,76.41,76.4425,76.4675,76.2575,76.3900,76.3900,-0.03,85518,488,488,37275567.5000000
FUTCURUSDINR27-AUG-2021,75.24,75.3500,75.3500,75.1475,75.3000,75.3000,0.08,93732,6089,6089,458389590.0000000
FUTCURUSDINR28-JUL-2021,74.96,75.0500,75.0750,74.8700,75.0200,75.0200,0.08,113490,26120,26120,1958889125.0000000
FUTCURUSDINR26-NOV-2021,76.05,76.1500,76.1750,75.9875,76.1450,76.1450,0.12,64743,239,239,18190915.0000000
FUTCURUSDINR28-JUN-2021,74.69,74.7500,74.7925,74.5825,74.7300,74.7300,0.06,545728,297704,297704,22238575975.0000000
FUTCURUSDINR24-FEB-2022,76.98,77.0300,77.0325,76.8500,76.9475,76.9475,-0.04,92004,251,251,19322720.0000000
FUTCURGBPINR27-AUG-2021,104.78,104.8300,104.9225,104.5175,104.5650,104.5650,-0.21,1360,149,149,15590692.5000000
FUTCURGBPINR26-NOV-2021,106.38,0.0000,0.0000,0.0000,103.3450,106.0775,-0.28,0,0,0,0.0000000
FUTCURGBPINR30-APR-2021,103.23,103.6050,103.6050,103.0725,103.1225,103.1592,-0.07,2825,5156,5156,531976800.0000000
FUTCURGBPINR07-MAY-2021,103.35,103.5500,103.6050,103.1750,103.2800,103.2800,-0.07,855,1474,1474,152244487.5000000
FUTCURGBPINR27-OCT-2021,105.97,0.0000,0.0000,0.0000,100.9200,105.6425,-0.31,0,0,0,0.0000000
FUTCURGBPINR04-JUN-2021,103.91,0.0000,0.0000,0.0000,104.0000,103.5875,-0.31,1,0,0,0.0000000
FUTCURGBPINR27-JAN-2022,107.28,0.0000,0.0000,0.0000,104.9975,106.9500,-0.31,0,0,0,0.0000000
FUTCURGBPINR16-JUL-2021,0.00,0.0000,0.0000,0.0000,104.5250,104.1925,0.00,0,0,0,0.0000000
FUTCURGBPINR24-FEB-2022,107.69,0.0000,0.0000,0.0000,107.8175,107.3600,-0.30,0,0,0,0.0000000
FUTCURGBPINR25-JUN-2021,104.99,0.0000,0.0000,0.0000,104.9900,103.9000,-1.04,3,0,0,0.0000000
FUTCURGBPINR28-MAY-2021,103.66,103.9100,103.9100,103.4225,103.5300,103.5300,-0.12,7111,3302,3302,342121562.5000000
FUTCURGBPINR29-MAR-2022,108.17,0.0000,0.0000,0.0000,105.3950,107.8425,-0.31,0,0,0,0.0000000
FUTCURGBPINR14-MAY-2021,103.61,103.4525,103.4525,103.2525,103.3925,103.3925,-0.21,53,16,16,1654215.0000000
FUTCURGBPINR29-DEC-2021,106.86,0.0000,0.0000,0.0000,103.7700,106.5300,-0.31,0,0,0,0.0000000
FUTCURGBPINR28-JUN-2021,104.11,104.1425,104.2575,103.8300,103.9325,103.9325,-0.17,55786,23823,23823,2476803560.0000000
FUTCURGBPINR27-MAY-2021,103.68,103.6725,104.0400,103.3825,103.5050,103.5050,-0.16,162607,301810,301810,31254261735.0000000
FUTCURGBPINR28-JUL-2021,104.47,104.5500,104.6000,104.2000,104.2975,104.2975,-0.16,7815,3886,3886,405429405.0000000
FUTCURGBPINR02-JUL-2021,104.32,0.0000,0.0000,0.0000,104.4725,103.9875,-0.32,0,0,0,0.0000000
FUTCURGBPINR11-JUN-2021,104.01,0.0000,0.0000,0.0000,102.6600,103.6900,-0.31,0,0,0,0.0000000
FUTCURGBPINR28-SEP-2021,105.06,105.0000,105.0000,105.0000,105.0000,105.2250,0.16,111,1,1,105000.0000000
FUTCURGBPINR27-APR-2022,108.60,0.0000,0.0000,0.0000,108.8950,108.2675,-0.31,0,0,0,0.0000000
FUTCURGBPINR18-JUN-2021,104.12,0.0000,0.0000,0.0000,102.4475,103.7950,-0.31,0,0,0,0.0000000
FUTCURGBPINR21-MAY-2021,103.52,103.5050,103.5050,103.1550,103.4275,103.4275,-0.08,181,80,80,8263310.0000000
FUTCURGBPINR09-JUL-2021,104.42,0.0000,0.0000,0.0000,105.5100,104.0900,-0.32,0,0,0,0.0000000
