CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCURGBPINR28-MAY-2021PE97,0.0200000,0.0000,0.0000,0.0000,0.4050,0.0225,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR07-MAY-2021CE97,6.4900000,0.0000,0.0000,0.0000,5.6350,6.1725,0.32,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR29-MAR-2022PE97,0.8700000,0.0000,0.0000,0.0000,1.4200,0.9075,0.04,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR28-JUN-2021CE97,7.3150000,0.0000,0.0000,0.0000,5.3275,7.0100,0.31,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR07-MAY-2021PE97,0.0000000,0.0000,0.0000,0.0000,0.5125,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR28-JUN-2021PE97,0.1150000,0.0000,0.0000,0.0000,4.3925,0.1275,0.01,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR28-SEP-2021PE97,0.4450000,0.0000,0.0000,0.0000,4.0450,0.4750,0.03,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR27-MAY-2021CE97,6.8000000,0.0000,0.0000,0.0000,6.9775,6.4825,0.32,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR29-MAR-2022CE97,11.5450000,0.0000,0.0000,0.0000,9.3525,11.2700,0.28,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR21-MAY-2021CE97,6.7025000,0.0000,0.0000,0.0000,7.1675,6.3850,0.32,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR30-APR-2021PE97,0.0000000,0.0000,0.0000,0.0000,0.8950,103.1592,0.00,0,0,0,103.16,0.0000000,0.0000000
OPTCURGBPINR27-MAY-2021PE97,0.0175000,0.0000,0.0000,0.0000,0.3500,0.0200,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR29-DEC-2021PE97,0.6950000,0.0000,0.0000,0.0000,2.1050,0.7300,0.04,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR11-JUN-2021PE97,0.0575000,0.0000,0.0000,0.0000,0.4025,0.0650,0.01,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR04-JUN-2021PE97,0.0375000,0.0000,0.0000,0.0000,0.4200,0.0425,0.01,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR14-MAY-2021PE97,0.0025000,0.0000,0.0000,0.0000,0.4950,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR18-JUN-2021PE97,0.0800000,0.0000,0.0000,0.0000,0.3850,0.0900,0.01,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR30-APR-2021CE97,6.3875000,0.0000,0.0000,0.0000,4.2400,103.1592,96.77,0,0,0,103.16,0.0000000,0.0000000
OPTCURGBPINR25-JUN-2021PE97,0.1025000,0.0000,0.0000,0.0000,0.2525,0.1150,0.01,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR18-JUN-2021CE97,7.1425000,0.0000,0.0000,0.0000,5.7625,6.8350,0.31,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR21-MAY-2021PE97,0.0075000,0.0000,0.0000,0.0000,0.2700,0.0100,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR14-MAY-2021CE97,6.5925000,0.0000,0.0000,0.0000,5.7650,6.2750,0.32,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR11-JUN-2021CE97,7.0225000,0.0000,0.0000,0.0000,5.9875,6.7150,0.31,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR25-JUN-2021CE97,7.2625000,0.0000,0.0000,0.0000,6.8075,6.9575,0.31,0,0,0,,0.0000000,0.0000000
OPTCURGBPINR28-SEP-2021CE97,8.8175000,0.0000,0.0000,0.0000,5.0300,8.5300,0.29,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021PE81.25,0.0025000,0.0000,0.0000,0.0000,0.7825,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021PE81.25,0.0025000,0.0000,0.0000,0.0000,0.0350,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021PE81.25,0.0250000,0.0000,0.0000,0.0000,0.4950,0.0300,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021PE81.5,0.0275000,0.0000,0.0000,0.0000,0.5300,0.0350,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021CE81.5,9.0500000,0.0000,0.0000,0.0000,5.9900,8.6575,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021PE81.5,0.0025000,0.0000,0.0000,0.0000,0.8300,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021PE81.5,0.0025000,0.0000,0.0000,0.0000,0.0425,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021CE81.5,10.3200000,0.0000,0.0000,0.0000,8.8075,9.9325,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021CE81.5,9.1800000,0.0000,0.0000,0.0000,7.8625,8.7875,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021CE81.75,10.0800000,0.0000,0.0000,0.0000,8.6075,9.6950,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021PE81.75,0.0025000,0.0000,0.0000,0.0000,0.0500,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021CE81.75,8.8025000,0.0000,0.0000,0.0000,5.7525,8.4100,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021PE81.75,0.0025000,0.0000,0.0000,0.0000,0.8775,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021CE81.75,8.9325000,0.0000,0.0000,0.0000,7.6725,8.5400,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021PE81.75,0.0325000,0.0000,0.0000,0.0000,0.5650,0.0400,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021PE82,0.0025000,0.0000,0.0000,0.0000,0.9300,0.0050,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021PE82,0.0025000,0.0000,0.0000,0.0000,0.0625,0.0025,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021PE82,0.0375000,0.0000,0.0000,0.0000,0.6050,0.0450,0.01,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021CE82,8.6850000,0.0000,0.0000,0.0000,7.4850,8.2950,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021CE82,9.8400000,0.0000,0.0000,0.0000,8.4075,9.4575,0.38,0,0,0,,0.0000000,0.0000000
OPTCUREURINR18-JUN-2021CE82,8.5550000,0.0000,0.0000,0.0000,5.5175,8.1625,0.39,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-JUN-2021PE82.25,0.0050000,0.0000,0.0000,0.0000,0.9825,0.0050,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURINR28-SEP-2021PE82.25,0.0450000,0.0000,0.0000,0.0000,0.6450,0.0525,0.01,0,0,0,,0.0000000,0.0000000
