CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,UNDRLNG_ST,NOTIONAL_V,PREMIUM_TR
OPTCUREURUSD28-JUN-2021PE1.175,0.0130000,0.0000,0.0000,0.0000,0.0653,0.0138,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.175,0.0071000,0.0000,0.0000,0.0000,0.0050,0.0078,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.175,0.0102000,0.0000,0.0000,0.0000,0.0051,0.0109,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.175,0.0239000,0.0000,0.0000,0.0000,0.0177,0.0248,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.175,0.0000000,0.0000,0.0000,0.0000,0.0939,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021PE1.175,0.0002000,0.0000,0.0000,0.0000,0.0347,0.0002,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.175,0.0016000,0.0000,0.0000,0.0000,0.0246,0.0016,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.175,0.2161000,0.0000,0.0000,0.0000,0.1235,0.2151,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.175,0.2138000,0.0000,0.0000,0.0000,0.1241,0.2129,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.175,0.2144000,0.0000,0.0000,0.0000,0.1046,0.2134,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.18,0.0149000,0.0000,0.0000,0.0000,0.0688,0.0158,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.18,0.0121000,0.0000,0.0000,0.0000,0.0062,0.0129,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.18,0.0260000,0.0000,0.0000,0.0000,0.0192,0.0269,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021PE1.18,0.0213000,0.0000,0.0000,0.0000,0.0441,0.0223,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021PE1.18,0.0037000,0.0000,0.0000,0.0000,0.1050,0.0042,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.18,0.0089000,0.0000,0.0000,0.0000,0.0061,0.0096,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021PE1.18,0.0002000,0.0000,0.0000,0.0000,0.0366,0.0002,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.18,0.0018000,0.0000,0.0000,0.0000,0.0260,0.0018,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.18,0.0000000,0.0000,0.0000,0.0000,0.0965,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021CE1.18,0.0156000,0.0000,0.0000,0.0000,0.0369,0.0136,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021CE1.18,0.0215000,0.0000,0.0000,0.0000,0.0441,0.0197,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021CE1.18,0.0254000,0.0000,0.0000,0.0000,0.0434,0.0237,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021CE1.18,0.0376000,0.0000,0.0000,0.0000,0.0368,0.0359,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021CE1.18,0.0448000,0.0000,0.0000,0.0000,0.0689,0.0432,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021CE1.18,0.0291000,0.0000,0.0000,0.0000,0.0185,0.0274,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.18,0.2094000,0.0000,0.0000,0.0000,0.1014,0.2085,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.18,0.2113000,0.0000,0.0000,0.0000,0.1200,0.2103,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.18,0.2088000,0.0000,0.0000,0.0000,0.1216,0.2079,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021CE1.185,0.0122000,0.0000,0.0000,0.0000,0.0354,0.0104,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021CE1.185,0.0225000,0.0000,0.0000,0.0000,0.0396,0.0209,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021CE1.185,0.0420000,0.0000,0.0000,0.0000,0.0656,0.0405,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021CE1.185,0.0184000,0.0000,0.0000,0.0000,0.0403,0.0168,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021CE1.185,0.0348000,0.0000,0.0000,0.0000,0.0346,0.0332,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021CE1.185,0.0262000,0.0000,0.0000,0.0000,0.0172,0.0246,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.185,0.2065000,0.0000,0.0000,0.0000,0.1164,0.2055,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.185,0.2045000,0.0000,0.0000,0.0000,0.0983,0.2035,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.185,0.2038000,0.0000,0.0000,0.0000,0.1192,0.2029,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.185,0.0020000,0.0000,0.0000,0.0000,0.0274,0.0020,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021PE1.185,0.0003000,0.0000,0.0000,0.0000,0.0384,0.0003,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.185,0.0000000,0.0000,0.0000,0.0000,0.0990,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.185,0.0141000,0.0000,0.0000,0.0000,0.0074,0.0151,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021PE1.185,0.0235000,0.0000,0.0000,0.0000,0.0468,0.0245,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.185,0.0108000,0.0000,0.0000,0.0000,0.0073,0.0117,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.185,0.0282000,0.0000,0.0000,0.0000,0.0209,0.0292,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.185,0.0171000,0.0000,0.0000,0.0000,0.0724,0.0180,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021PE1.185,0.0054000,0.0000,0.0000,0.0000,0.1085,0.0061,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021CE1.19,0.0198000,0.0000,0.0000,0.0000,0.0360,0.0183,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021CE1.19,0.0394000,0.0000,0.0000,0.0000,0.0623,0.0379,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021CE1.19,0.0235000,0.0000,0.0000,0.0000,0.0159,0.0220,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021CE1.19,0.0093000,0.0000,0.0000,0.0000,0.0339,0.0078,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021CE1.19,0.0321000,0.0000,0.0000,0.0000,0.0325,0.0306,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021CE1.19,0.0157000,0.0000,0.0000,0.0000,0.0366,0.0142,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021PE1.19,0.0003000,0.0000,0.0000,0.0000,0.0403,0.0003,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021PE1.19,0.0000000,0.0000,0.0000,0.0000,0.1016,0.0000,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.19,0.0023000,0.0000,0.0000,0.0000,0.0290,0.0022,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.19,0.1988000,0.0000,0.0000,0.0000,0.1168,0.1979,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.19,0.1995000,0.0000,0.0000,0.0000,0.0952,0.1986,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.19,0.2017000,0.0000,0.0000,0.0000,0.1130,0.2007,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-JUN-2021PE1.19,0.0193000,0.0000,0.0000,0.0000,0.0761,0.0204,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD26-MAR-2021PE1.19,0.0075000,0.0000,0.0000,0.0000,0.1119,0.0084,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD27-MAY-2021PE1.19,0.0164000,0.0000,0.0000,0.0000,0.0088,0.0174,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-APR-2021PE1.19,0.0131000,0.0000,0.0000,0.0000,0.0086,0.0141,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD29-DEC-2021PE1.19,0.0305000,0.0000,0.0000,0.0000,0.0226,0.0315,0.00,0,0,0,,0.0000000,0.0000000
OPTCUREURUSD28-SEP-2021PE1.19,0.0258000,0.0000,0.0000,0.0000,0.0497,0.0269,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD26-MAR-2021CE1.195,0.1938000,0.0000,0.0000,0.0000,0.1144,0.1929,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-JUN-2021CE1.195,0.1946000,0.0000,0.0000,0.0000,0.0922,0.1937,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021CE1.195,0.1970000,0.0000,0.0000,0.0000,0.1096,0.1960,0.00,0,0,0,,0.0000000,0.0000000
OPTCURGBPUSD28-SEP-2021PE1.195,0.0025000,0.0000,0.0000,0.0000,0.0306,0.0025,0.00,0,0,0,,0.0000000,0.0000000
