SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1329.25,1333,1314,1316.05,1314,1318.4,199,800,1057155,
500003,AEGIS LOGIS ,A ,Q,189.9,189.9,182.05,183.4,183,186.05,564,10230,1899725,
500008,AMAR RAJA BA,A ,Q,630,630,617.2,620.7,622.75,622.2,328,10706,6658915,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
531893,SAWACA BUSI ,X ,Q,0.54,0.54,0.54,0.54,0.54,0.55,8,1000,540,
531898,SANGUINE MD ,X ,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,1000,190,
531900,CCL INTER   ,X ,Q,7.23,7.59,6.9,7.59,7.59,7.23,9,270,2027,
531917,TWINSTAR SOF,Z ,Q,0.95,0.95,0.87,0.95,0.87,0.91,9,17000,16145,
531921,AGAR IND COR,B ,Q,130,130,130,130,130,131.95,2,1801,234130,
531923,DHAMPURE SGR,X ,Q,11.32,11.87,10.78,10.8,10.8,11.32,10,1600,18022,
531925,SHANTANU SHE,XT,Q,0.34,0.34,0.33,0.33,0.33,0.34,6,11290,3775,
531928,GOLDEN CARPE,XT,Q,3.95,3.95,3.95,3.95,3.95,4.15,1,1,3,
531950,VERTEX SEC. ,X ,Q,1.33,1.33,1.3,1.3,1.3,1.3,6,3120,4077,
531952,RIBA TEXTILS,X ,Q,54.6,58.45,51.15,53.85,53.85,55.95,918,130737,6986041,
531977,CHARTERLOGIS,X ,Q,4,4.06,3.85,4.03,4.03,3.93,20,12223,47759,
531978,AMBIKA COTTO,B ,Q,875,881.6,872,872,872,872.95,40,303,264760,
531979,HIND ALUMIN ,X ,Q,45,45.05,43,44.95,45,46,16,266,11966,
532022,FILAT FASH  ,XT,Q,2.25,2.25,2.25,2.25,2.25,2.15,9,19461,43787,
532029,SINDHU TRADE,XT,Q,101.95,101.95,101.95,101.95,101.95,97.1,8,15,1529,
532034,SAFALHBS    ,Z ,Q,1.47,1.47,1.47,1.47,1.47,1.4,2,16,23,
532039,ZENOTECH    ,XT,Q,28.95,28.95,26.8,27,27,27.75,43,14368,389314,
532051,SWELECT     ,B ,Q,126.65,130,126.35,126.9,126.35,130,36,631,80304,
532053,WALLFORT FIN,X ,Q,22,27,21,23.85,23.85,25,10,4815,120597,
532054,KDDL LTD    ,B ,Q,389,389,335,335.75,335,370,6,7,2469,
532056,ADINATH EXIM,XT,Q,8.24,8.24,8.2,8.24,8.24,7.85,3,11,90,
532067,KILPEST (I) ,X ,Q,86.05,88,85.5,87.6,87.6,87.1,16,1124,97574,
532081,KSERASERA   ,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,5,1608,305,
532092,SAGARPROD   ,X ,Q,9.8,9.9,9.8,9.88,9.89,9.76,163,116380,1150155,
532097,MUKAND ENGG.,B ,Q,11.54,11.97,11.54,11.97,11.97,11.45,4,1100,12737,
532114,AREALTY     ,X ,Q,1.16,1.16,1.16,1.16,1.16,1.16,1,200,232,
532123,BSE  INFRA  ,B ,Q,1.25,1.41,1.25,1.32,1.32,1.2,65,59100,81111,
532129,HEXAWARE TEC,A ,Q,394.8,394.8,380,389.35,389.35,379.6,8067,212191,81928156,
532134,BANKBARODA  ,A ,Q,93.7,94.15,91.85,93.6,93.6,93.3,3731,1442523,134277002,
532141,ANDHRA CEMEN,B ,Q,3.23,3.23,2.97,3.23,3.23,3.08,21,24915,78556,
532143,SKM EGG PROD,B ,Q,38.05,38.7,37.35,38.25,38,38.35,62,2147,81645,
532144,WELCORP     ,A ,Q,121.95,126.5,121.95,124.45,125.1,121.8,316,13607,1693467,
532145,H.S.(I) LTD.,X ,Q,7.77,8.5,7.77,8.5,8.5,8.17,2,110,862,
532149,BNK OF INDIA,A ,Q,64.15,64.35,62.45,63.6,63.6,63.85,1417,679381,43026339,
532150,INDRAPRAST  ,B ,Q,36.75,38,36.75,37.45,37.8,36.7,81,1998,74618,
532155,GAIL (I) LTD,A ,Q,127.2,132.3,126.05,130.95,130.95,127.2,3952,362836,47525525,
532156,VAIBHAVGBL  ,B ,Q,840,841.75,838.65,839.45,840.25,830.85,11,113,94920,
532159,TRESCON     ,X ,Q,74,74,73.3,73.3,73.3,74,2,26,1913,
532162,JK PAPER    ,B ,Q,102.2,103.7,102.05,102.6,102.9,101.8,282,14400,1479365,
532163,SAREGAMA (I),B ,Q,330.25,333.2,326.25,328.55,330,330.8,31,208,68324,
532172,ADROITINFO  ,T ,Q,10.55,10.55,10.55,10.55,10.55,11.1,1,1,10,
532173,CYBERTECH   ,B ,Q,46,46.75,45.6,45.8,45.6,46,7,508,23307,
532174,ICICI BANK  ,A ,Q,389.7,393.9,388.1,388.9,388.9,397.5,10987,916877,358154155,
532175,CYIENT      ,A ,Q,428.2,436,424.6,432.1,435,430.2,241,3342,1428442,
532178,ENGINRS.(I) ,A ,Q,106.5,109.95,106.2,107.65,107.65,105.75,1915,291799,31549253,
532179,CORPN.BANK  ,A ,Q,17.65,17.75,17.2,17.3,17.3,17.6,115,43947,761457,
532180,DHANALAK.BNK,B ,Q,13.66,13.79,13.5,13.63,13.62,13.66,22,3246,44251,
532181,GUJ.MINERAL ,A ,Q,63.45,64.85,63.4,64.15,64.5,63.35,100,9768,623371,
532183,GAYATRI SUGR,XT,Q,1.55,1.55,1.55,1.55,1.55,1.5,1,80,124,
532187,INDUSIND BNK,A ,Q,1337,1337,1303.4,1307.7,1307.7,1317.35,6523,186516,245141414,
532189,INDIA TOURIS,B ,Q,167.7,175.25,167.4,171.8,171.4,165.85,149,2184,373020,XD
532209,J & K BANK  ,A ,Q,41,41,39.05,39.45,39.45,40.05,734,107816,4283432,
532210,CITY UNION  ,A ,Q,196.2,198.9,194.5,195.4,194.6,192.65,162,4556,894805,
532212,ARCHIES LTD ,B ,Q,17.7,19.95,17.5,18.3,18.3,16.65,423,50544,971174,
532215,AXIS BANK   ,A ,Q,652,659.6,644.5,649.25,649.25,646.95,4022,250259,162717633,
532216,HB STOCKHOL.,B ,Q,7.47,7.85,7.47,7.85,7.85,7.86,2,6,46,
532217,SIEL FINANCL,XT,Q,3.9,3.9,3.9,3.9,3.9,3.97,1,10,39,
532218,SOUTH IND.BK,A ,Q,10.8,10.83,10.4,10.77,10.8,10.61,541,300599,3207688,
532219,ENERGY DEV. ,B ,Q,5.81,5.81,5.63,5.63,5.63,5.49,5,1100,6265,
532221,SONATA SOFT.,A ,Q,308.1,308.1,295.05,298.95,298.5,304.5,858,17710,5297479,
532234,NAT.ALUM    ,A ,Q,40.9,42.6,40.9,42.1,42.1,40.5,1396,611926,25798850,
532240,INDIA NIPPON,B ,Q,317.05,317.05,315,315.1,315.1,322,29,29,9144,
532256,NALWA SONS  ,B ,Q,908.25,909,908,909,909,909.45,3,31,28160,
532259,APAR INDUS. ,B ,Q,533.25,544.25,531,536.65,531.7,531.8,37,275,147433,
532268,ACCELYA     ,B ,Q,828.6,847,820,843.5,840,825,114,593,494295,
532271,CYBERMATE   ,X ,Q,1.63,1.7,1.59,1.63,1.66,1.58,14,12276,20091,
532275,LANDMARC LEI,XT,Q,0.6,0.6,0.6,0.6,0.6,0.6,3,2906,1743,
532276,SYNDICATE BN,A ,Q,31.9,32.05,31.55,31.75,31.85,32.1,147,52257,1665055,
532281,HCL TECHNO  ,A ,Q,1118.7,1123.2,1103.8,1111.1,1111.1,1125.25,1547,19970,22233790,
532282,CASTEXTECH  ,B ,Q,0.57,0.57,0.55,0.55,0.55,0.57,7,2448,1367,
532284,TCFC FINANCE,X ,Q,19.2,21,19.2,20.75,20.75,20.25,21,1009,20430,
532285,GEOJITFSL   ,B ,Q,25.85,26,25,25.25,25,25.15,37,6404,164762,
532286,JINDAL STE  ,A ,Q,97,99.6,95.05,96.05,96.05,95.4,6789,1562577,152174902,
532296,GLENMARK PHA,A ,Q,385,391.5,385,390,390,382.35,452,12144,4728180,
532300,WOCKHARDT   ,A ,Q,235.35,239.6,233.05,235.75,235.75,233.45,1116,35433,8372191,
532301,TATA COFFEE ,B ,Q,73.05,74.05,73,73.55,73.45,73.1,425,24252,1783590,
532305,IND-SWIFT LA,B ,Q,38.7,40,38.05,39.7,39.55,38.4,284,99375,3836533,
532309,GEPIL       ,B ,Q,775,780.05,751,757.45,758.65,777.15,211,397,302846,
532310,SHREE RAMA  ,T ,Q,4.57,4.57,4.57,4.57,4.57,4.81,2,2,9,
532313,MAHINDRALIFE,A ,Q,372.5,380.2,372.5,376.4,376.7,371.15,58,309,116189,
532321,CADILA HEALT,A ,Q,230.5,237.55,230.5,235.9,235.9,230.45,970,77752,18244710,
532323,SHIVA CEMENT,X ,Q,9.8,10.1,9.51,9.61,9.61,9.67,161,107079,1050712,
532324,CINEVISTA   ,T ,Q,6.19,6.19,6.19,6.19,6.19,5.9,1,251,1553,
532326,INTENS TECH ,B ,Q,23.5,24,23.3,23.4,23.4,23.3,20,637,14896,
532329,DANLAW TECH.,X ,Q,73,73,57.3,59,59,63.4,61,4487,268424,
532330,BIOPAC INDIA,XT,Q,2.29,2.29,2.09,2.09,2.09,2.19,7,11359,25512,
532331,AJANTA PHARM,A ,Q,1048,1055.95,1034.2,1038.3,1035,1041.15,742,6459,6732566,
532333,HB PORTFOLIO,X ,Q,12.21,13.94,12.21,12.75,13.94,13.65,21,472,5964,
532334,HB ESTATE DE,X ,Q,9.1,9.1,8.95,8.96,8.95,9.2,13,291,2621,
532336,BARON INFO. ,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,2,8885,1688,
532341,IZMO        ,B ,Q,30,31,28.5,31,31,29.55,32,2693,80636,
532342,COMMEX TECH ,X ,Q,0.2,0.2,0.2,0.2,0.2,0.21,5,160,32,
532343,TVS MOTOR L ,A ,Q,365.4,378.6,362.6,371.05,371.05,365.75,1718,115880,43087982,
532345,GATI LTD.   ,B ,Q,39.7,41.45,39.65,40.8,40.5,39.6,353,27330,1108397,
532348,SUBEX LTX   ,B ,Q,5.43,5.46,5.39,5.4,5.44,5.45,53,85205,461443,
532349,TRANSPORT CO,B ,Q,280.4,284.8,279.95,281.1,280.35,279.5,25,87,24526,
532350,PADMALAYA TE,XT,Q,1.8,1.97,1.8,1.8,1.8,1.88,18,703,1288,
532351,AKSH OPTIFIB,B ,Q,8.9,9.05,8.67,8.67,8.67,9.12,146,49819,439500,
532356,TRIVENI ENGG,B ,Q,53.65,54.1,52.6,53.05,52.8,53.15,269,31962,1707978,
532357,MUKTA ARTS  ,B ,Q,36.5,36.5,35.2,35.2,35.2,34.8,38,1149,41695,
532365,DYNACONS SYS,B ,Q,24.75,24.75,24.75,24.75,24.75,24.45,1,3,74,
532366,PNB GILTS   ,B ,Q,32.9,33.15,32.8,32.95,33.15,32.65,22,4636,152801,
532368,BCG         ,B ,Q,3.16,3.33,3.1,3.33,3.33,3.19,50,99970,316157,
532369,RAMCO INDS. ,B ,Q,169.25,169.25,166.1,166.85,166.3,167.65,99,2466,415169,
532370,RAMCO  SYSTM,B ,Q,170.85,170.85,168.55,169.55,168.55,173.2,72,2337,397871,
532371,TATA TELESER,T ,Q,2.53,2.53,2.36,2.48,2.48,2.41,59,68234,167651,
532372,VIRINCHI    ,X ,Q,40,41.4,39.5,39.65,39.65,39.3,94,16080,647460,
532373,WEPSOLN     ,X ,Q,15.45,17.4,15.45,17.35,17.35,16.8,5,5,81,
532374,STER TECH   ,A ,Q,118.6,119,113.15,114.65,115,116.9,2283,166802,19378095,
532376,MRO-TEK     ,T ,Q,17.25,17.5,17.25,17.5,17.5,17.25,6,4050,70782,
532379,FIRSTOBJ    ,X ,Q,8.92,8.92,8.08,8.08,8.08,8.5,2,9,75,
532380,BABA ARTS   ,X ,Q,2.85,3.23,2.55,2.8,2.8,2.75,8,372,1072,
532382,BALAJI TELE.,B ,Q,54.45,59.75,54.45,56.8,56.7,54,98,6960,399274,
532384,TYCHE INDS  ,X ,Q,59.7,60,57.55,59.05,59.8,57.95,25,1899,113093,
532386,CALIFORN.SOF,B ,Q,11.2,12,11.2,11.75,11.75,11.78,32,33040,375689,
532387,PRITISHN COM,B ,Q,15,15,14.14,14.93,14.93,14.95,6,1160,16815,
532388,INDIAN OVER.,A ,Q,10.05,10.25,10,10.11,10.08,9.99,129,34357,347168,
532390,TAJ GVK HOTL,B ,Q,123.9,126.85,122,124.5,124.5,121.75,162,10727,1333833,
532391,OPTO CIRCUIT,B ,Q,3.57,3.57,3.52,3.57,3.57,3.4,42,38233,136488,
532392,CREATIVE EYE,T ,Q,1.55,1.55,1.55,1.55,1.55,1.63,3,1611,2497,
532395,AXISCADES   ,B ,Q,63.55,67.3,63.55,65.4,67.15,63.4,177,11454,741492,
532398,UMESL       ,B ,Q,0.99,1.03,0.99,1.03,1.03,0.99,4,2110,2168,
532400,BSOFT       ,A ,Q,66,67.4,63.9,65.65,65.65,64.6,489,53475,3508752,
532402,USGTECH     ,X ,Q,1.63,1.63,1.63,1.63,1.63,1.63,1,10,16,
532404,SAVEN TECHNO,X ,Q,15.4,15.4,14.15,15,14.9,15.4,23,848,12547,
532406,AVANTEL LTD ,X ,Q,200.05,206.95,200.05,202,202,199.6,11,539,109791,
532407,MOSCHIP     ,X ,Q,9.99,11.48,9.61,11.48,11.48,9.57,91,48099,509009,
532408,MEGASOFT LTD,T ,Q,6.5,6.5,6.2,6.2,6.2,6.2,6,1208,7524,
532411,VISESH INFO.,T ,Q,0.19,0.19,0.19,0.19,0.19,0.19,3,119,22,
532413,CEREBRA INTE,B ,Q,24.35,24.8,24.15,24.8,24.15,24.35,34,20766,510654,
532416,MID-DAY MULT,B ,Q,12.2,12.64,12.1,12.4,12.3,12.7,11,253,3120,
532418,ANDHRA BANK ,A ,Q,20.3,20.3,19.15,19.25,19.25,19.4,138,32675,629025,
532419,SMARTLINK   ,T ,Q,80,80,77,77,77,79,11,389,30945,
532424,GODREJ CONS ,A ,Q,584,598.6,584,597.2,598.5,583.45,888,26627,15851126,
532425,GENUSPRIME  ,X ,Q,2.07,2.07,2.07,2.07,2.07,2.07,1,50,103,
